Produit,Flux,Date,Montant
PRODUITS PHOTOGRAPHIQUES OU CINEMATOGRAPHIQUES,Importations,2010-01-01,159726627.0
PRODUITS DIVERS DES INDUSTRIES CHIMIQUES,Importations,2010-01-01,1273844028.0
MATIERES PLASTIQUES ET OUVRAGES EN CES MATIERES,Importations,2010-01-01,4283889694.0
CAOUTCHOUC ET OUVRAGES EN CAOUTCHOUC,Importations,2010-01-01,1538008792.0
PEAUX (AUTRES QUE LES PELLETERIES) ET CUIRS,Importations,2010-01-01,4296399.0
"OUVRAGES EN CUIR; ARTICLES DE BOURRELLERIE, SELLERIE, VOYAGE OU EN BOYAUX",Importations,2010-01-01,193361333.0
PELLETERIES ET FOURRURES; PELLETERIES FACTICES,Importations,2010-01-01,
"BOIS, CHARBON DE BOIS ET OUVRAGES EN BOIS",Importations,2010-01-01,1826019337.0
LIEGE ET OUVRAGES EN LIEGE,Importations,2010-01-01,
OUVRAGES DE SPARTERIE OU DE VANNERIE,Importations,2010-01-01,1034324.0
MATIERES CELLULOSIQUES SERVANT A LA FABRICATION DU PAPIER,Importations,2010-01-01,7756969.0
"PAPIERS ET CARTONS; OUVRAGES EN PATE DE CELLULOSE, EN PAPIER OU CARTON",Importations,2010-01-01,3598373920.0
"PRODUITS D'EDITION, PRESSE, ARTS GRAPHIQUES; MANUSCRITS, PLANS",Importations,2010-01-01,460657525.0
SOIE,Importations,2010-01-01,12540946.0
"LAINE, POILS FINS OU GROSSIERS; FILS ET TISSUS DE CRIN",Importations,2010-01-01,3016728.0
COTON,Importations,2010-01-01,528141153.0
"AUTRES FIBRES TEXTILES VEGETALES;FILS DE PAPIER, TISSUS DE FILS DE PAPIER",Importations,2010-01-01,291269.0
FILAMENTS SYNTHETIQUES OU ARTIFICIELS,Importations,2010-01-01,285181668.0
FIBRES SYNTHETIQUES OU ARTIFICIELLES DISCONTINUES,Importations,2010-01-01,355646536.0
"OUATES,FEUTRES,NON TISSES;FILS SPECIAUX;FICELLES,CORDES,CORDAGES;CORDERIE",Importations,2010-01-01,270125882.0
TAPIS ET AUTRES REVETEMENTS DE SOL EN MATIERES TEXTILES,Importations,2010-01-01,65650948.0
TISSUS SPECIAUX; DENTELLES; TAPISSERIES; PASSEMENTERIES; BRODERIES,Importations,2010-01-01,69852955.0
"TISSUS IMPREGNES, RECOUVERTS, STRATIFIES; ARTICLES TECHNIQUES EN TEXTILES",Importations,2010-01-01,43469479.0
ETOFFES DE BONNETERIE,Importations,2010-01-01,539647.0
"VETEMENTS ET ACCESSOIRES DU VETEMENT, EN BONNETERIE",Importations,2010-01-01,548681362.0
"VETEMENTS ET ACCESSOIRES DU VETEMENT, AUTRES QU'EN BONNETERIE",Importations,2010-01-01,474335069.0
AUTRES ARTICLES TEXTILES CONFECTIONNES; ASSORTIMENTS; FRIPERIE ET CHIFFONS,Importations,2010-01-01,1662842806.0
"CHAUSSURES, GUETRES ET ARTICLES ANALOGUES; PARTIES DE CES OBJETS",Importations,2010-01-01,809881152.0
COIFFURES ET PARTIES DE COIFFURES,Importations,2010-01-01,59715748.0
"PARAPLUIES, PARASOLS, CANNES, FOUETS, CRAVACHES ET LEURS PARTIES",Importations,2010-01-01,6843297.0
PLUMES APPRETEES; FLEURS ARTIFICIELLES; OUVRAGES EN CHEVEUX,Importations,2010-01-01,26060498.0
"OUVRAGES EN PIERRES, PLATRE, CIMENT, AMIANTE, MICA OU MATIERES ANALOGUES",Importations,2010-01-01,388309743.0
PRODUITS CERAMIQUES,Importations,2010-01-01,1562069238.0
VERRE ET OUVRAGES EN VERRE,Importations,2010-01-01,679092222.0
"PERLES, PIERRES GEMMES, METAUX PRECIEUX; BIJOUTERIE FANTAISIE; MONNAIES",Importations,2010-01-01,197740800.0
"FONTE, FER ET ACIER",Importations,2010-01-01,7037433694.0
"OUVRAGES EN FONTE, FER OU ACIER",Importations,2010-01-01,3276960023.0
CUIVRE ET OUVRAGES EN CUIVRE,Importations,2010-01-01,782397353.0
NICKEL ET OUVRAGES EN NICKEL,Importations,2010-01-01,730183.0
ALUMINIUM ET OUVRAGES EN ALUMINIUM,Importations,2010-01-01,415009983.0
PLOMB ET OUVRAGES EN PLOMB,Importations,2010-01-01,305892.0
ZINC ET OUVRAGES EN ZINC,Importations,2010-01-01,41683404.0
ETAIN ET OUVRAGES EN ETAIN,Importations,2010-01-01,11594811.0
AUTRES METAUX COMMUNS; CERMETS; OUVRAGES EN CES MATIERES,Importations,2010-01-01,66239.0
"OUTILS, OUTILLAGE, COUTELLERIE, COUVERTS EN METAUX COMMUNS ET PARTIES",Importations,2010-01-01,301586914.0
OUVRAGES DIVERS EN METAUX COMMUNS,Importations,2010-01-01,413384547.0
"REACTEURS NUCLEAIRES; CHAUDIERES, MACHINES, APPAREILS, ENGINS MECANIQUES",Importations,2010-01-01,20785685360.0
